Index,AI0(V)
0,-0.1237
1,-0.12389
2,-0.12534
3,-0.12307
4,-0.12717
5,-0.12837
6,-0.12528
7,-0.12414
8,-0.12452
9,-0.13064
10,-0.12433
11,-0.12597
12,-0.12414
13,-0.12522
14,-0.12679
15,-0.12553
16,-0.1249
17,-0.12824
18,-0.12774
19,-0.12862
20,-0.12168
21,-0.12749
22,-0.12932
23,-0.12414
24,-0.12383
25,-0.12433
26,-0.12768
27,-0.12421
28,-0.12471
29,-0.13089
30,-0.1297
31,-0.12951
32,-0.12705
33,-0.12806
34,-0.12856
35,-0.12818
36,-0.12711
37,-0.12421
38,-0.12742
39,-0.12686
40,-0.12427
41,-0.12534
42,-0.12989
43,-0.12395
44,-0.12345
45,-0.12806
46,-0.12585
47,-0.1256
48,-0.13089
49,-0.1249
50,-0.12471
51,-0.12692
52,-0.12648
53,-0.12572
54,-0.1273
55,-0.11929
56,-0.1261
57,-0.12585
58,-0.12755
59,-0.12522
60,-0.12515
61,-0.12724
62,-0.12402
63,-0.12231
64,-0.12213
65,-0.12724
66,-0.12478
67,-0.12566
68,-0.12736
69,-0.12843
70,-0.12566
71,-0.12957
72,-0.12597
73,-0.12705
74,-0.12616
75,-0.12427
76,-0.1256
77,-0.12717
78,-0.12806
79,-0.12503
80,-0.13108
81,-0.12869
82,-0.12509
83,-0.12162
84,-0.12358
85,-0.12572
86,-0.12793
87,-0.12339
88,-0.12604
89,-0.12553
90,-0.12345
91,-0.12654
92,-0.1302
93,-0.12679
94,-0.12459
95,-0.1249
96,-0.12698
97,-0.12755
98,-0.12667
99,-0.1237
100,-0.12856
101,-0.12648
102,-0.12944
103,-0.12515
104,-0.12749
105,-0.12616
106,-0.1225
107,-0.12591
108,-0.12395
109,-0.12736
110,-0.12724
111,-0.13058
112,-0.12093
113,-0.12175
114,-0.12831
115,-0.12925
116,-0.12421
117,-0.12181
118,-0.12982
119,-0.1266
120,-0.12446
121,-0.12326
122,-0.12888
123,-0.1225
124,-0.12478
125,-0.13178
126,-0.12484
127,-0.12181
128,-0.12244
129,-0.12799
130,-0.12484
131,-0.12452
132,-0.12364
133,-0.12623
134,-0.12749
135,-0.13007
136,-0.12591
137,-0.12976
138,-0.12395
139,-0.12616
140,-0.12496
141,-0.129
142,-0.12648
143,-0.12755
144,-0.12522
145,-0.12724
146,-0.12231
147,-0.12345
148,-0.12522
149,-0.12679
150,-0.12408
151,-0.1232
152,-0.12395
153,-0.1266
154,-0.12635
155,-0.1285
156,-0.12698
157,-0.12679
158,-0.1244
159,-0.12585
160,-0.1266
161,-0.12219
162,-0.12522
163,-0.12301
164,-0.12402
165,-0.12597
166,-0.12648
167,-0.12496
168,-0.1302
169,-0.13153
170,-0.12459
171,-0.12288
172,-0.12181
173,-0.12452
174,-0.12705
175,-0.12856
176,-0.12831
177,-0.12698
178,-0.12351
179,-0.1273
180,-0.12503
181,-0.12074
182,-0.12616
183,-0.13178
184,-0.12358
185,-0.12799
186,-0.12351
187,-0.12787
188,-0.12478
189,-0.12761
190,-0.12913
191,-0.12572
192,-0.1249
193,-0.12907
194,-0.12944
195,-0.1237
196,-0.12509
197,-0.12604
198,-0.12869
199,-0.12257
200,-0.12591
201,-0.12515
202,-0.12383
203,-0.1266
204,-0.12244
205,-0.12724
206,-0.12938
207,-0.12534
208,-0.13014
209,-0.12503
210,-0.12131
211,-0.12724
212,-0.12654
213,-0.12862
214,-0.12692
215,-0.12976
216,-0.12793
217,-0.12528
218,-0.12339
219,-0.12433
220,-0.12623
221,-0.12774
222,-0.12358
223,-0.12181
224,-0.12377
225,-0.12421
226,-0.12742
227,-0.12528
228,-0.12888
229,-0.12623
230,-0.12724
231,-0.12496
232,-0.13045
233,-0.12642
234,-0.12724
235,-0.12414
236,-0.12736
237,-0.12894
238,-0.12711
239,-0.12692
240,-0.12629
241,-0.12528
242,-0.12635
243,-0.12818
244,-0.12995
245,-0.12711
246,-0.12742
247,-0.12496
248,-0.13096
249,-0.12446
250,-0.12654
251,-0.12585
252,-0.1237
253,-0.12717
254,-0.12414
255,-0.12976
256,-0.12925
257,-0.12925
258,-0.12749
259,-0.12187
260,-0.12541
261,-0.12673
262,-0.12395
263,-0.12623
264,-0.12288
265,-0.12881
266,-0.12642
267,-0.12597
268,-0.12402
269,-0.12837
270,-0.1249
271,-0.12843
272,-0.1256
273,-0.12824
274,-0.13348
275,-0.12484
276,-0.12692
277,-0.12837
278,-0.12187
279,-0.12471
280,-0.12648
281,-0.12484
282,-0.12534
283,-0.12238
284,-0.1237
285,-0.12787
286,-0.13121
287,-0.12288
288,-0.1278
289,-0.12654
290,-0.12597
291,-0.12768
292,-0.1266
293,-0.12963
294,-0.12553
295,-0.12654
296,-0.12768
297,-0.12667
298,-0.12812
299,-0.12881
300,-0.12616
301,-0.12515
302,-0.12787
303,-0.1232
304,-0.12433
305,-0.12465
306,-0.12534
307,-0.1266
308,-0.12345
309,-0.12307
310,-0.12761
311,-0.12749
312,-0.12446
313,-0.12888
314,-0.12408
315,-0.12269
316,-0.12995
317,-0.12541
318,-0.12799
319,-0.1285
320,-0.12881
321,-0.12585
322,-0.12843
323,-0.12673
324,-0.12736
325,-0.12989
326,-0.12055
327,-0.12459
328,-0.12402
329,-0.12414
330,-0.12711
331,-0.12572
332,-0.12332
333,-0.12995
334,-0.12938
335,-0.12377
336,-0.12345
337,-0.12459
338,-0.12093
339,-0.12547
340,-0.12957
341,-0.12654
342,-0.12515
343,-0.12831
344,-0.12913
345,-0.12541
346,-0.12421
347,-0.12332
348,-0.12162
349,-0.12698
350,-0.12843
351,-0.12465
352,-0.12856
353,-0.12496
354,-0.12654
355,-0.12591
356,-0.12925
357,-0.12168
358,-0.12553
359,-0.12421
360,-0.12711
361,-0.1285
362,-0.12421
363,-0.12837
364,-0.12414
365,-0.12907
366,-0.12673
367,-0.12875
368,-0.12774
369,-0.12698
370,-0.12686
371,-0.12213
372,-0.12547
373,-0.11954
374,-0.12503
375,-0.12459
376,-0.12459
377,-0.13026
378,-0.12894
379,-0.12686
380,-0.12919
381,-0.12629
382,-0.12395
383,-0.12686
384,-0.12717
385,-0.12623
386,-0.12503
387,-0.12913
388,-0.13178
389,-0.12919
390,-0.1249
391,-0.12799
392,-0.12831
393,-0.12604
394,-0.12408
395,-0.12408
396,-0.12818
397,-0.1249
398,-0.12446
399,-0.12244
400,-0.12875
401,-0.12654
402,-0.1237
403,-0.12295
404,-0.12496
405,-0.11973
406,-0.13039
407,-0.12395
408,-0.12875
409,-0.12004
410,-0.12263
411,-0.12705
412,-0.12509
413,-0.12604
414,-0.1266
415,-0.12749
416,-0.12673
417,-0.12812
418,-0.12736
419,-0.12276
420,-0.12307
421,-0.12017
422,-0.12187
423,-0.12181
424,-0.12787
425,-0.12749
426,-0.12408
427,-0.12446
