timeStamp/s,positon/mm,q,velocity(mm/s),coil,E/uV,accelerator(mm/s^2),gyroscope(deg/s)
1655298228.0630155,"(0.0, 100.0, 300)","(1.0, 0, 0, 0.0)","(5.0, -0.0, 0)",0,15.466407835422505,"(0.0, -5.0, 9800.0)","(0, 0, 125.66370614359172)"
1655298228.1130154,"(0.050005452012121636, 99.99998749727307, 300)","(0.9999999687431822, 0, 0, 0.00025002726787566495)","(4.999999374863654, -0.002500272600606082, 0)",1,28.148923143825446,"(-0.0001250136300303041, -4.999999374863654, 9800.0)","(0, 0, 125.66370614359172)"
1655298228.1630154,"(0.10001089152015305, 99.99994998909538, 300)","(0.9999998749727307, 0, 0, 0.0005000545201212164)","(4.99999749945477, -0.005000544576007652, 0)",2,28.162442156099157,"(-0.0002500272288003826, -4.99999749945477, 9800.0)","(0, 0, 125.66370614359172)"
1655298228.2130156,"(0.15001630602000707, 99.99988747547633, 300)","(0.9999997186886512, 0, 0, 0.0007500817411065417)","(4.999994373773816, -0.007500815301000354, 0)",3,15.486030422455345,"(-0.0003750407650500177, -4.999994373773816, 9800.0)","(0, 0, 125.66370614359172)"
1655298228.2630155,"(0.20002168300760295, 99.99979995643154, 300)","(0.9999994998909538, 0, 0, 0.0010001089152015304)","(4.999989997821578, -0.010001084150380148, 0)",4,15.440261935215135,"(-0.0005000542075190074, -4.999989997821578, 9800.0)","(0, 0, 125.66370614359172)"
1655298228.3130155,"(0.2500270099788691, 99.9996874319829, 300)","(0.999999218579652, 0, 0, 0.0012501360267760748)","(4.999984371599146, -0.012501350498943457, 0)",5,28.13087201697328,"(-0.0006250675249471728, -4.999984371599146, 9800.0)","(0, 0, 125.66370614359172)"
1655298228.3630154,"(0.3000322744297466, 99.99954990215856, 300)","(0.9999988747547633, 0, 0, 0.0015001630602000707)","(4.999977495107927, -0.015001613721487332, 0)",6,28.180466431655624,"(-0.0007500806860743666, -4.999977495107927, 9800.0)","(0, 0, 125.66370614359172)"
1655298228.4130154,"(0.35003746385619217, 99.99938736699289, 300)","(0.9999984684163093, 0, 0, 0.0017501899998434202)","(4.999969368349644, -0.01750187319280961, 0)",7,15.512247389098984,"(-0.0008750936596404804, -4.999969368349644, 9800.0)","(0, 0, 125.66370614359172)"
1655298228.4630156,"(0.4000425657541812, 99.99919982652654, 300)","(0.9999979995643155, 0, 0, 0.0020002168300760296)","(4.999959991326327, -0.02000212828770906, 0)",8,8.993973081759458,"(-0.001000106414385453, -4.999959991326327, 9800.0)","(0, 0, 125.66370614359172)"
1655298228.5130155,"(0.4500475676197108, 99.99898728080639, 300)","(0.999997468198811, 0, 0, 0.0022502435352678126)","(4.99994936404032, -0.02250237838098554, 0)",9,15.44684416921131,"(-0.001125118919049277, -4.99994936404032, 9800.0)","(0, 0, 125.66370614359172)"
1655298228.5630155,"(0.5000524569488036, 99.99874972988562, 300)","(0.9999968743198291, 0, 0, 0.0025002700997886914)","(4.9999374864942805, -0.025002622847440183, 0)",10,15.488283434077406,"(-0.0012501311423720092, -4.9999374864942805, 9800.0)","(0, 0, 125.66370614359172)"
1655298228.6130154,"(0.55005722123751, 99.9984871738236, 300)","(0.999996217927407, 0, 0, 0.002750296508008596)","(4.99992435869118, -0.027502861061875498, 0)",11,9.060703279824626,"(-0.001375143053093775, -4.99992435869118, 9800.0)","(0, 0, 125.66370614359172)"
1655298228.6630154,"(0.6000618479819116, 99.99819961268601, 300)","(0.9999954990215856, 0, 0, 0.0030003227442974663)","(4.999909980634301, -0.030003092399095578, 0)",12,3.303669759837016,"(-0.001500154619954779, -4.999909980634301, 9800.0)","(0, 0, 125.66370614359172)"
1655298228.7130156,"(0.6500663246781246, 99.99788704654473, 300)","(0.99999471760241, 0, 0, 0.003250348793025254)","(4.999894352327237, -0.03250331623390623, 0)",13,5.432215171986435,"(-0.0016251658116953117, -4.999894352327237, 9800.0)","(0, 0, 125.66370614359172)"
1655298228.7630155,"(0.7000706388223027, 99.99754947547794, 300)","(0.9999938736699289, 0, 0, 0.0035003746385619218)","(4.999877473773897, -0.035003531941115135, 0)",14,5.450466494578952,"(-0.0017501765970557566, -4.999877473773897, 9800.0)","(0, 0, 125.66370614359172)"
1655298228.8130155,"(0.7500747779106401, 99.99718689957004, 300)","(0.9999929672241952, 0, 0, 0.0037504002652774446)","(4.9998593449785025, -0.037503738895532004, 0)",15,3.337062942574942,"(-0.0018751869447766003, -4.9998593449785025, 9800.0)","(0, 0, 125.66370614359172)"
1655298228.8630154,"(0.8000787294393747, 99.9967993189117, 300)","(0.9999919982652654, 0, 0, 0.004000425657541812)","(4.9998399659455846, -0.04000393647196874, 0)",0,15.361758302530117,"(-0.002000196823598437, -4.9998399659455846, 9800.0)","(0, 0, 125.66370614359172)"
1655298228.9130154,"(0.850082480904792, 99.99638673359982, 300)","(0.9999909667932001, 0, 0, 0.004250450799725026)","(4.999819336679991, -0.042504124045239594, 0)",1,28.075933461568443,"(-0.00212520620226198, -4.999819336679991, 9800.0)","(0, 0, 125.66370614359172)"
1655298228.9630156,"(0.9000860198032263, 99.99594914373759, 300)","(0.999989872808064, 0, 0, 0.004500475676197108)","(4.9997974571868795, -0.04500430099016132, 0)",2,28.233646529996868,"(-0.002250215049508066, -4.9997974571868795, 9800.0)","(0, 0, 125.66370614359172)"
1655298229.0130155,"(0.9500893336310666, 99.99548654943442, 300)","(0.9999887163099253, 0, 0, 0.004750500271328095)","(4.999774327471721, -0.04750446668155334, 0)",3,15.590680431336107,"(-0.0023752233340776667, -4.999774327471721, 9800.0)","(0, 0, 125.66370614359172)"
1655298229.0630155,"(1.0000924098847566, 99.99499895080599, 300)","(0.9999874972988562, 0, 0, 0.005000524569488037)","(4.9997499475403, -0.050004620494237824, 0)",4,15.33603016125197,"(-0.0025002310247118913, -4.9997499475403, 9800.0)","(0, 0, 125.66370614359172)"
1655298229.1130154,"(1.0500952360608, 99.99448634797422, 300)","(0.9999862157749331, 0, 0, 0.005250548555047008)","(4.999724317398711, -0.052504761803040007, 0)",5,28.05844402912064,"(-0.0026252380901520002, -4.999724317398711, 9800.0)","(0, 0, 125.66370614359172)"
1655298229.1630154,"(1.1000977996557642, 99.99394874106729, 300)","(0.999984871738236, 0, 0, 0.0055005722123751)","(4.9996974370533644, -0.0550048899827882, 0)",6,28.25230614177365,"(-0.00275024449913941, -4.9996974370533644, 9800.0)","(0, 0, 125.66370614359172)"
1655298229.2130156,"(1.15010008816628, 99.99338613021963, 300)","(0.9999834651888491, 0, 0, 0.005750595525842425)","(4.999669306510982, -0.05750500440831399, 0)",7,15.61742394418167,"(-0.0028752502204156998, -4.999669306510982, 9800.0)","(0, 0, 125.66370614359172)"
